As+A1:AD27tronomical Low Tide,Avalanche,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Dense Smoke,Drought,Dust Devil,Dust Storm,Excessive Heat,Flash flood,Flood,Frost/Freeze,Funnel Cloud,Hail,Heat,Heavy rain,Heavy Snow,High Surf,High Wind,Hurricane,Lake Effect Snow,Lightning,Marine Hail,Marine Strong Wind,Marine Thunderstorm Wind,Rip Current,Sleet,Storm Surge/Tide,Thunderstorm Wind,Tropical Depression,Tropical Storm,Volcanic Ash,Waterspout,Wildfire,Winter Weather,Others
astronomical low tide,avalanche,blizzard,coastal  flooding/erosion,bitter wind chill temperatures,tornado debris,dense fog,dense smoke,excessive heat/drought,dust devil,dust storm,excessive heat, flash flood,flood,agricultural freeze,funnel cloud,hail,abnormal warmth,excessive rainfall,blowing snow,   high surf advisory, wind,hurricane edouard,lake effect snow, lightning,marine hail,marine strong wind,marine tstm wind,rip currents,freezing drizzle,blow-out tides, tstm wind,tropical depression,coastal storm,volcanic ash plume,waterspout,brush fire,ice roads,microburst
NA,NA,NA,coastal flood,cold,NA,fog,NA,drought,dust devel,blowing dust,heat wave,flash flood/flood,flood/strong wind,frost/freeze,wall cloud,late season hail,unseasonably hot,early rain,falling snow/ice,hazardous surf,gusty lake wind,typhoon,NA,tstm wind and lightning,NA,NA,NA,NA,freezing rain,astronomical high tide, tstm wind (g45),storm surge,coastalstorm,volcanic eruption,waterspouts,wildfire,icy roads,beach erosion
NA,NA,NA,coastal flooding/erosion,cold and snow,NA,patchy dense fog,NA,record low rainfall,NA,NA,record heat,flood/flash/flood,minor flooding,damaging freeze,NA,hail/wind,unseasonably warm & wet,excessive rain,first snow,heavy surf and wind,gusty wind/hail,NA,NA,NA,NA,NA,NA,NA,freezing spray,blow-out tide,tstm wind 40,NA,NA,NA,NA,NA,ice,coastal erosion
NA,NA,NA,coastalflood,cold temperatures,NA,NA,NA,excessively dry,NA,NA,NA,flash flood,river flooding,freeze,NA,NA,unseasonably warm year,gusty wind/rain,accumulated snowfall,high surf,high wind (g40),NA,NA,NA,NA,NA,NA,NA,freezing fog,NA,tstm wind/hail,NA,NA,NA,NA,NA,ice jam,dam break
NA,NA,NA, coastal flood,cold wind chill temperatures,NA,NA,NA,abnormally dry,NA,NA,NA,flash flooding,street flooding,early frost,NA,NA,record warm,heavy rain and wind,excessive snow,high surf advisory,non-tstm wind,NA,NA,NA,NA,NA,NA,NA,freezing rain/sleet,NA,tstm wnd,NA,NA,NA,NA,NA,ice on road,downburst
NA,NA,NA,cstl flooding/erosion,extreme cold,NA,NA,NA,dry conditions,NA,NA,NA,flood/flash flood,tidal flooding,frost,NA,NA,record warmth,heavy rain/high surf,drifting snow,rough surf,non tstm wind,NA,NA,NA,NA,NA,NA,NA,light freezing rain,NA,gusty thunderstorm winds,NA,NA,NA,NA,NA,winter mix,drowning
NA,NA,NA,erosion/cstl flood,extreme wind chill,NA,NA,NA,dry spell,NA,NA,NA,NA,urban flood,first frost,NA,NA,hot and dry,heavy rainfall,early snowfall,NA,strong wind gust,NA,NA,NA,NA,NA,NA,NA,sleet/freezing rain,NA,severe thunderstorm,NA,NA,NA,NA,NA,winter weather,vog
NA,NA,NA,coastal flooding,extreme windchill temperatures,NA,NA,NA,dryness,NA,NA,NA,NA,urban/small strm fldg,NA,NA,NA,hot weather,locally heavy rain,ice/snow,NA,whirlwind,NA,NA,NA,NA,NA,NA,NA,snow/freezing rain,NA,thunderstorm,NA,NA,NA,NA,NA,winter weather/mix,landslide
NA,NA,NA,NA,bitter wind chill,NA,NA,NA,dry,NA,NA,NA,NA,urban/sml stream fldg,NA,NA,NA,unusual/record warmth,monthly rainfall,late-season snowfall,NA,wind advisory,NA,NA,NA,NA,NA,NA,NA,sleet,NA,thunderstorm wind (g40),NA,NA,NA,NA,NA,wintry mix,landslump
NA,NA,NA,NA,cold and frost,NA,NA,NA,dry microburst,NA,NA,NA,NA,NA,NA,NA,NA,NA,prolonged rain,record snow,NA,wind gusts,NA,NA,NA,NA,NA,NA,NA,NA,NA,tstm,NA,NA,NA,NA,NA,black ice,unseasonably cool & wet
NA,NA,NA,NA,cold temperature,NA,NA,NA,dry weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,rain (heavy),heavy snow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tstm wind,NA,NA,NA,NA,NA,cool spell,record temperature
NA,NA,NA,NA,cold weather,NA,NA,NA,very dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,unseasonal rain,heavy snow squalls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tstm wind (41),NA,NA,NA,NA,NA,hyperthermia/exposure,glaze
NA,NA,NA,NA,cold/wind chill,NA,NA,NA,driest month,NA,NA,NA,NA,NA,NA,NA,NA,NA,abnormally wet,late season snowfall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tstm wind (g40),NA,NA,NA,NA,NA,NA,high  swells
NA,NA,NA,NA,extended cold,NA,NA,NA,record dry month,NA,NA,NA,NA,NA,NA,NA,NA,NA,record precipitation,light snow/flurries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high water
NA,NA,NA,NA,extreme cold/wind chill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unseasonably wet,light snowfall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monthly temperature
NA,NA,NA,NA,extreme windchill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wet micoburst,moderate snowfall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mud slide
NA,NA,NA,NA,excessive cold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wet month,rain/snow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mudslide/landslide
NA,NA,NA,NA,unseasonably cold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,extremely wet,seasonal snowfall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no severe weather
NA,NA,NA,NA,prolong cold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,heavy precipitation,snow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,northern lights
NA,NA,NA,NA,record cold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed precipitation,snow advisory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,red flag criteria
NA,NA,NA,NA,wind chill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,snow and sleet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,remnants of floyd
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,snow showers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rogue wave
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,snow squalls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sml stream fld
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,snow/sleet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,temperature record
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unusually late snow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
